action,Length
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,45
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,27
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,29
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
0,33
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,42
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,38
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,36
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,40
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
1,34
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,29
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,66
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,33
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,31
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,40
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,38
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,36
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
2,42
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,36
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,46
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,42
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,41
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,43
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,38
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,40
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
3,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,46
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,44
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,39
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,38
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
4,43
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,69
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,96
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,111
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,100
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,86
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,99
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,75
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,108
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,103
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
5,91
